rnum,productGb,prdlstReportNo,prdlstNm,prdkind,prdkindstate,capacity,manufacture,seller,rawmtrl,allergy,nutrient,barcode,imgurl1,imgurl2
2,식품,201904962712,설화눈꽃팝김부각스낵 아몬드맛,과자,낱개 및 세트박스 포장,,남원혼불부각,,"찹쌀,김,참깨,옥수수기름(옥배유),아몬드,양파,무,천일염,대파,마늘,새우,멸치,다시마,건표고버섯,둥굴레,감초,정제수",아몬드,,,http://www.haccp.or.kr/fresh/prdimg/2019/201904962712/201904962712-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2019/201904962712/201904962712-2.jpg
6,식품,2018048003058,홀리닭 청양큐브,분쇄가공육제품,냉동보관,,농업회사법인 유한회사 더원푸드지점,,닭고기,"대두,밀,닭고기,쇠고기",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018048003058/2018048003058-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2018/2018048003058/2018048003058-2.jpg
7,식품,2018048003057,홀리닭 통가슴살 오리지널,양념육,냉동제품,,농업회사법인 유한회사 더원푸드지점,,닭가슴살,"대두,밀,닭고기,쇠고기",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018048003057/2018048003057-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2018/2018048003057/2018048003057-2.jpg
8,식품,201804424055,바삭하고 고소한 우유팝콘,과자류(유처리제품),60g/1개,,예그린,예그린,"옥수수,우유농축액,야자유,정제소금,합성착향료버터향",우유,"열량 270.22 kcal, 나트륨 115.5mg(6%),탄수화물44.3g(14%), 당류17.6g(18%),지방 8.4g(16%),트랜스지방 0g,포화지방5.9g(39%), 콜레스테롤4.9mg(2%), 단백질 4.3g(8%) ",8 809990 005420,http://www.haccp.or.kr/fresh/prdimg/2018/201804424055/201804424055-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/201804424055/201804424055-2.png
11,식품,201804150729,고들빼기김치,김치류,새상품,,(주)올마루,,"고들빼기,멸치액,염장새우,L-글루타민산나트륨,양파,다시마육수,혼합간장,고춧가루,마늘,생강,갈색설탕,참깨,물엿,매실청,배즙,찹쌀풀,당근,파,파","새우,대두,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/201804150729/201804150729-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/201804150729/201804150729-2.png
12,식품,201804150727,양념깻잎김치,김치류,새상품,,(주)올마루,,"들깻잎,혼합간장,물엿,들기름,고춧가루,볶은통깨,생강,깐밤,당근,마늘","대두,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/201804150727/201804150727-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/201804150727/201804150727-2.png
15,식품,2018041507252,비빔오징어젓,양념젓갈,새상품,,(주)올마루,,"양념젓갈,오징어,정제소금,마늘,고추,고춧가루,해바라기씨앗,물엿,참깨,참기름",오징어,,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507252/2018041507252-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507252/2018041507252-2.png
16,식품,2018041507250,대파장아찌,절임식품,새상품,,(주)올마루,,"대파,간장,멸치액,정제수,식초,설탕","대두,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507250/2018041507250-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507250/2018041507250-2.png
17,식품,201804150725,깍두기,김치류,새상품,,(주)올마루,,"무,정제소금,밀가루풀,L-글루타민산나트륨,고춧가루,파,마늘,생강,양파,염장새우,멸치젓,백설탕","새우,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/201804150725/201804150725-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/201804150725/201804150725-2.png
18,식품,2018041507249,나박김치,김치류,새상품,,(주)올마루,,"배추,무,고춧가루,파,당근,양파,홍고추,마늘,생강,쌀풀,정제소금,정제수,잣",잣,,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507249/2018041507249-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507249/2018041507249-2.png
19,식품,2018041507248,무말랭이김치,김치류,새상품,,(주)올마루,,"무말랭이,물엿,멸치액,고춧가루,간장,밀가루풀,마늘,참깨","대두,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507248/2018041507248-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507248/2018041507248-2.png
20,식품,2018041507247,겉절이,김치류,새상품,,(주)올마루,,"배추,고춧가루,파,마늘,멸치액,생강,양파,파,부추,염장새우,밀가루풀,참깨,L-글루탐산나트륨,황태표고다시마육수","새우,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507247/2018041507247-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507247/2018041507247-2.png
21,식품,2018041507246,명품프리미엄포기김치,김치류,새상품,,(주)올마루,,"절임배추,배추,기타소금,무,고춧가루,마늘,대파,황태표고다시마육수,밤,멸치액,염장새우,정제수,홍고추,배,부추,설탕,양파,미나리,잣,파프리카,생강,찹쌀,가공소금,매실청","새우,잣",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507246/2018041507246-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507246/2018041507246-2.png
22,식품,2018041507244,무우장아찌,절임식품,새상품,,(주)올마루,,"무,간장,멸치액,설탕,식초,정제수","대두,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507244/2018041507244-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507244/2018041507244-2.png
23,식품,2018041507243,파프리카잎장아찌,절임식품,새상품,,(주)올마루,,"파프리카잎,혼합간장,멸치젓,정제수,식초,백설탕","대두,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507243/2018041507243-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507243/2018041507243-2.png
24,식품,2018041507242,취나물장아찌,절임식품,새상품,,(주)올마루,,"참취잎,혼합간장,멸치젓,정제수,식초,백설탕","대두,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507242/2018041507242-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507242/2018041507242-2.png
25,식품,2018041507241,곰취장아찌,절임식품,새상품,,(주)올마루,,"곰취잎,혼합간장,멸치젓,정제수,식초,백설탕","대두,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507241/2018041507241-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507241/2018041507241-2.png
26,식품,2018041507240,가시오가피순 장아찌,절임식품,새상품,,(주)올마루,,"가시오갈피잎,정제수,혼합간장,멸치액,식초,백설탕","대두,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507240/2018041507240-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507240/2018041507240-2.png
27,식품,2018041507239,양파장아찌,절임식품,새상품,,(주)올마루,,"양파,간장,멸치액,식초,설탕,정제수","대두,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507239/2018041507239-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507239/2018041507239-2.png
28,식품,2018041507238,마늘쫑 장아찌,절임식품,새상품,,(주)올마루,,"마늘쫑,혼합간장,멸치젓,정제수,식초,백설탕","대두,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507238/2018041507238-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507238/2018041507238-2.png
29,식품,2018041507237,마늘장아찌,절임식품,새상품,,(주)올마루,,"마늘,혼합간장,멸치젓,정제수,식초,백설탕","대두,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507237/2018041507237-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507237/2018041507237-2.png
30,식품,2018041507236,오이장아찌,절임식품,새상품,,(주)올마루,,"오이,혼합간장,멸치젓,정제수,식초,백설탕","대두,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507236/2018041507236-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507236/2018041507236-2.png
31,식품,2018041507235,다진맛김치,김치류,새상품,,(주)올마루,,"절임배추,고춧가루,양파,마늘,생강,염장새우,멸치액,대파,정제수,L글루탐산나트륨,백설탕,밀가루풀,정제소금","새우,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507235/2018041507235-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507235/2018041507235-2.png
32,식품,2018041507234,총각무김치양념,김칫속,새상품,,(주)올마루,,"고춧가루,염장새우,대파,마늘,백설탕,밀가루풀,정제소금,멸치액,생강,L글루탐산나트륨","새우,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507234/2018041507234-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507234/2018041507234-2.png
33,식품,2018041507233,평창애김치양념,김칫속,새상품,,(주)올마루,,"무,고춧가루,홍고추,양파,마늘,생강,정제소금,염장새우,멸치액,백설탕,대파,밀가루풀,L글루탐산나트륨","새우,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507233/2018041507233-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507233/2018041507233-2.png
35,식품,2018041507230,왕질경이장아찌,절임식품,새상품,,(주)올마루,,"왕질경이잎,혼합간장,멸치젓,정제수,식초,백설탕","대두,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507230/2018041507230-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507230/2018041507230-2.png
36,식품,201804150723,평창애포기김치,김치류,새상품,,농업회사법인(주)평창후레쉬푸드(방림공장),,"절임배추,무채,홍파프리카,찹쌀풀,홍고추,설탕,고춧가루,양파,마늘,생강,염장새우,멸치액,대파,황태표고다시마육수,정제수,황태머리,건조멸치,건조밴댕이,건조다시마,양파,대파,무,생강,건새우,표고버섯,매실액",새우,,,http://www.haccp.or.kr/fresh/prdimg/2018/201804150723/201804150723-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2018/201804150723/201804150723-2.jpg
37,식품,2018041507229,올마루포기김치,김치류,새상품,,(주)올마루,,"절임배추,배추,기타소금,무,홍파프리카,찹쌀분말,정제수,L글루탐산나트륨,홍고추,백설탕,고춧가루,양파,마늘,생강,염장새우,멸치젓,대파,황태표고다시마육수,매실액",새우,,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507229/2018041507229-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507229/2018041507229-2.png
38,식품,2018041507228,백김치,김치류,새상품,,(주)올마루,,"절임배추,배추,정제소금,무,마늘,생강,양파,파,당근,염장새우,멸치젓,밀가루풀,정제소금,황태표고다시마육수","새우,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507228/2018041507228-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507228/2018041507228-2.png
39,식품,2018041507227,맛김치,김치류,새상품,,(주)올마루,,"절임배추,배추,정제소금,고춧가루,양파,마늘,생강,염장새우,멸치액,대파,정제수,L글루탐산나트륨,밀가루풀,백설탕,정제소금","새우,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507227/2018041507227-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507227/2018041507227-2.png
40,식품,201804150722,섞박지,김치류,새상품,,(주)올마루,,"무,고춧가루,파,마늘,생강,양파,염장새우,멸치액,밀가루풀,L글루타민산나트륨,백설탕,정제소금","새우,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/201804150722/201804150722-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/201804150722/201804150722-2.png
41,식품,2018041507216,포기김치,김치류,새상품,,(주)올마루,,"멸치젓,염장새우,고춧가루,밀가루풀,양파,마늘,생강,홍고추,L-글루탐산나트륨,재제소금(재제조소금),백설탕,정제수,무,대파,절임배추","새우,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507216/2018041507216-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507216/2018041507216-2.png
43,식품,2018041507214,열무김치,김치류,새상품,,(주)올마루,,"열무,정제소금,백설탕,밀가루풀,멸치액,염장새우,다시마육수,정제수,고춧가루,파,양파,홍고추,마늘,생강","새우,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507214/2018041507214-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507214/2018041507214-2.png
44,식품,2018041507213,오이소박이,김치류,새상품,,(주)올마루,,"오이,정제소금,생강,멸치액,염장새우,부추,마늘,양파,백설탕,황태표고다시마육수,고춧가루",새우,,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507213/2018041507213-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507213/2018041507213-2.png
46,식품,2018041507211,총각김치,김치류,새상품,,(주)올마루,,"총각무,고춧가루,대파,마늘,생강,염장새우,멸치액,백설탕,정제소금,밀가루풀,L-글루타민산나트륨","새우,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507211/2018041507211-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/2018041507211/2018041507211-2.png
48,식품,201804150721,파프리카잎김치,김치류,새상품,,(주)올마루,,"파프리카잎,고춧가루,액젓,파,액젓,대파,양파,매실액,배,찹쌀풀,황태표고다시마육수,간장,마늘,생강,갈색설탕,참깨,물엿,당근,L-글루탐산나트륨제제","새우,대두,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/201804150721/201804150721-1.png,http://www.haccp.or.kr/fresh/prdimg/2018/201804150721/201804150721-2.png
49,식품,201803970017,신선 한입닭갈비,양념육,냉장,,주식회사 리투,주식회사 리투,"닭고기70%,양념30%","닭고기,우유,대두,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/201803970017/201803970017-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2018/201803970017/201803970017-2.jpg
50,식품,201803970013,신선 간장닭갈비,양념육,냉장,,주식회사 리투,주식회사 리투,"닭고기70%,양념30%","닭고기,대두,밀,우유",,,http://www.haccp.or.kr/fresh/prdimg/2018/201803970013/201803970013-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2018/201803970013/201803970013-2.jpg
51,식품,2018039700127,신선 한입간장닭갈비,양념육,냉장,,주식회사 리투,주식회사 리투,"닭고기70%,양념30%","닭고기,대두,밀,우유",,,http://www.haccp.or.kr/fresh/prdimg/2018/2018039700127/2018039700127-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2018/2018039700127/2018039700127-2.jpg
52,식품,201803970011,신선닭갈비,양념육,냉장,,주식회사 리투,주식회사 리투,"닭고기70%, 양념30%","닭고기,대두,우유,밀",,,http://www.haccp.or.kr/fresh/prdimg/2018/201803970011/201803970011-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2018/201803970011/201803970011-2.jpg
62,식품,2017055401579,영주한우 갈비세트3호,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우갈비100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401579/2017055401579-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401579/2017055401579-2.jpg
63,식품,2017055401578,영주한우 갈비세트2호,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우갈비100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401578/2017055401578-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401578/2017055401578-2.jpg
64,식품,2017055401577,영주한우 갈비세트1호,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우갈비100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401577/2017055401577-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401577/2017055401577-2.jpg
65,식품,2017055401576,소백산한우 특 등심세트,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우등심100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401576/2017055401576-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401576/2017055401576-2.jpg
66,식품,2017055401575,소백산한우 특 정육세트,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우정육100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401575/2017055401575-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401575/2017055401575-2.jpg
67,식품,2017055401574,소백산한우 특 갈비세트,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우갈비100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401574/2017055401574-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401574/2017055401574-2.jpg
68,식품,2017055401573,소백산한우  정육세트3호,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우정육,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401573/2017055401573-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401573/2017055401573-2.jpg
69,식품,2017055401572,소백산한우 정육세트2호,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우정육,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401572/2017055401572-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401572/2017055401572-2.jpg
70,식품,2017055401571,소백산한우 정육세트1호,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우정육,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401571/2017055401571-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401571/2017055401571-2.jpg
71,식품,2017055401570,소백산한우 등심세트7호,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우등심100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401570/2017055401570-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401570/2017055401570-2.jpg
72,식품,201705540157,한우차돌박이,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우차돌박이100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/201705540157/201705540157-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/201705540157/201705540157-2.jpg
73,식품,2017055401569,소백산한우 등심세트6호,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우등심100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401569/2017055401569-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401569/2017055401569-2.jpg
74,식품,2017055401568,소백산한우 등심세트4호,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우등심100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401568/2017055401568-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401568/2017055401568-2.jpg
75,식품,2017055401567,소백산한우 등심세트3호,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우등심100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401567/2017055401567-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401567/2017055401567-2.jpg
76,식품,2017055401566,소백산한우 등심세트 2호,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우등심100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401566/2017055401566-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401566/2017055401566-2.jpg
77,식품,2017055401565,소백산한우 등심세트1호,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우등심 100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401565/2017055401565-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401565/2017055401565-2.jpg
78,식품,2017055401564,소백산한우 갈비세트2호,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우갈비100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401564/2017055401564-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401564/2017055401564-2.jpg
79,식품,2017055401563,소백산한우 갈비세트1호,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우갈비100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401563/2017055401563-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401563/2017055401563-2.jpg
80,식품,201705540156,한우업진살,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우업진살100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/201705540156/201705540156-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/201705540156/201705540156-2.jpg
81,식품,201705540155,한우양지,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우양지100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/201705540155/201705540155-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/201705540155/201705540155-2.jpg
82,식품,2017055401537,한우잡육,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우잡육100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401537/2017055401537-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401537/2017055401537-2.jpg
83,식품,2017055401536,한우수구레,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우수구레100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401536/2017055401536-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401536/2017055401536-2.jpg
84,식품,2017055401533,한우사태,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우사태100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401533/2017055401533-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401533/2017055401533-2.jpg
85,식품,2017055401530,한우채끝,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우채끝100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401530/2017055401530-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401530/2017055401530-2.jpg
86,식품,201705540153,한우앞다리,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우앞다리100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/201705540153/201705540153-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/201705540153/201705540153-2.jpg
87,식품,2017055401524,한우스지,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우스지100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401524/2017055401524-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401524/2017055401524-2.jpg
88,식품,2017055401522,한우홍두깨살,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우홍두깨살100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401522/2017055401522-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401522/2017055401522-2.jpg
89,식품,201705540152,한우등심,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우등심100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/201705540152/201705540152-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/201705540152/201705540152-2.jpg
90,식품,2017055401519,한우부채살,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우부채살100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401519/2017055401519-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401519/2017055401519-2.jpg
91,식품,2017055401518,한우꾸리살,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우꾸리살100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401518/2017055401518-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401518/2017055401518-2.jpg
92,식품,2017055401517,한우설깃,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우설깃100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401517/2017055401517-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401517/2017055401517-2.jpg
93,식품,2017055401516,한우설도,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우설도100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401516/2017055401516-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401516/2017055401516-2.jpg
94,식품,2017055401515,한우사태,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우사태100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401515/2017055401515-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401515/2017055401515-2.jpg
95,식품,2017055401514,한우안심,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우안심100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401514/2017055401514-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401514/2017055401514-2.jpg
96,식품,2017055401513,한우치마양지,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우치마양지100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401513/2017055401513-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401513/2017055401513-2.jpg
97,식품,2017055401512,한우치마살,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우치마살100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401512/2017055401512-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401512/2017055401512-2.jpg
98,식품,2017055401511,한우제비추리,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우제비추리100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401511/2017055401511-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/2017055401511/2017055401511-2.jpg
99,식품,201705540151,한우목심,포장육,냉장 및 냉동,,영주한우,농업회사법인(주)영주물류,한우목심100%,소고기,,,http://www.haccp.or.kr/fresh/prdimg/2017/201705540151/201705540151-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/201705540151/201705540151-2.jpg
101,식품,201705484641,국산콩고소한두부,두부,알수없음,400g(320kcal),대상㈜ 구미공장_경상북도 구미시 산동면 첨단기업5로 48-38,대상㈜ 횡성공장_강원도 횡성군 횡성읍 청용길 15,"대두100%(국산), 천연원료식물성유산균천일염응고제(조제해수염화마그네슘, 현미유, 식물성유산균발효액ENT)",대두,"100g당 / 총 내용량 400g
열량80kcal, 나트륨0mg 0%, 탄수화물1g 0%, 당류0g 0%, 지방4.7g 9%, 트랜스지방0g, 포화지방0.8g 5%, 콜레스테롤0mg 0%, 단백질8g 15% 
1일 영양성분 기준치에 대한 비율(%)은 2,000kcal 기준이므로 개인의 필요 열량에 따라 다를 수 있습니다.",8801024051519,http://www.haccp.or.kr/fresh/prdimg/2017/201705484641/201705484641-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2017/201705484641/201705484641-2.jpg
102,식품,201705290111,바삭하고 구수한 볶음자반,조미김,김고유의 파란색,,바다채움,바다채움,"김자반,옥수수기름(옥배유),가공소금,참기름,백설탕,들기름,볶은참깨,포도씨앗유,녹차가루",대두,"나트륨2%,탄수화물0%,당류0%,지방4%,트랜스지방0%,포화지방2%,콜레스테롤0%,단백질1%","8809553950013,8809553950006",http://www.haccp.or.kr/fresh/prdimg/2017/201705290111/201705290111-1.png,http://www.haccp.or.kr/fresh/prdimg/2017/201705290111/201705290111-2.png
